Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
WIG,113.756,-88.1974,-18.8438,WIG-9,KEY_KIT_USE_WOW,KEY-WIG_KIT-WIG_USE-WIG_WIG-WOW,KEY-WIG-9_KIT-WIG-9_USE-WIG-9_WIG-WOW-9,KEY-9_KIT-9_USE-9_WOW-9,0,outer,right
CIS,-9.64693,95.2111,-75.533,CIS-2,BAH_BOY_ORC_ETA_OFF_BAM,BAH-CIS_BOY-CIS_CIS-ORC_CIS-ETA_CIS-OFF_BAM-CIS,BAH-CIS-2_BOY-CIS-2_CIS-ORC-2_CIS-ETA-2_CIS-OFF-2_BAM-CIS-8,BAH-2_BOY-2_ORC-2_ETA-2_OFF-2_BAM-8,1,inner,left
ALL,130.342,-20.7791,27.5419,ALL-10,GOO_EGG_SAD_RUG_PIG_PRO,ALL-GOO_ALL-EGG_ALL-SAD_ALL-RUG_ALL-PIG_ALL-PRO,ALL-GOO-10_ALL-EGG-10_ALL-SAD-10_ALL-RUG-10_ALL-PIG-10_ALL-PRO-10,GOO-10_EGG-10_SAD-10_RUG-10_PIG-10_PRO-13,0,outer,right
RUM,-135.949,-22.638,-26.9519,RUM-5_RUM-3,GUT_INK_MAY_OIL_SIP_PIE,GUT-RUM_INK-RUM_MAY-RUM_OIL-RUM_RUM-SIP_PIE-RUM,GUT-RUM-3_INK-RUM-3_MAY-RUM-3_RUM-SIP-3_OIL-RUM-5_PIE-RUM-1,GUT-3_INK-3_MAY-3_SIP-3_OIL-5_PIE-1,1,inner,left
KEG,68.4782,92.348,20.5952,KEG-8_KEG-11,WHY_COW_ODD_WAS,KEG-WHY_COW-KEG_KEG-ODD_KEG-WAS,COW-KEG-11_KEG-ODD-11_KEG-WAS-11_KEG-WHY-8,COW-11_ODD-11_WAS-11_WHY-8,0,outer,right
WIN,46.1769,106.687,-59.2615,WIN-8,BAH_BAM_HAY_PAY,BAH-WIN_BAM-WIN_HAY-WIN_PAY-WIN,BAH-WIN-8_BAM-WIN-8_HAY-WIN-8_PAY-WIN-8,BAH-8_BAM-8_HAY-8_PAY-8,0,outer,right
RUG,117.753,-16.2721,0.629393,RUG-10,ALL_FOR_GET,ALL-RUG_FOR-RUG_GET-RUG,ALL-RUG-10_FOR-RUG-10_GET-RUG-10,ALL-10_FOR-10_GET-10,0,inner,right
PLY,-54.0174,-23.646,56.5159,PLY-6_PLY-5,NAY_MOP,NAY-PLY_MOP-PLY,NAY-PLY-5_MOP-PLY-6,NAY-5_MOP-6,0,inner,left
ALA,-121.541,-80.9259,-22.7984,ALA-3,AGO_OIL_INK_FLY_GUT_MIX,AGO-ALA_ALA-OIL_ALA-INK_ALA-FLY_ALA-GUT_ALA-MIX,AGO-ALA-3_ALA-OIL-3_ALA-INK-3_ALA-FLY-3_ALA-GUT-3_ALA-MIX-3,AGO-3_OIL-3_INK-3_FLY-3_GUT-3_MIX-3,0,outer,left
BRO,-75.5966,86.8364,35.48,BRO-7,EON_HIT_ARM,BRO-EON_BRO-HIT_ARM-BRO,BRO-EON-7_BRO-HIT-7_ARM-BRO-1,EON-7_HIT-7_ARM-1,0,outer,left
KEY,128.581,-73.5041,13.6998,KEY-12_KEY-9,NOR_WIG_FIG_SAD,KEY-NOR_KEY-WIG_FIG-KEY_KEY-SAD,KEY-NOR-12_FIG-KEY-12_KEY-WIG-9_KEY-SAD-9,NOR-12_FIG-12_WIG-9_SAD-10,0,outer,right
TUB,-62.5819,125.966,-29.5117,TUB-2,ASK_DIG_DUI_SKY,ASK-TUB_DIG-TUB_DUI-TUB_SKY-TUB,ASK-TUB-2_DIG-TUB-2_DUI-TUB-2_SKY-TUB-2,ASK-2_DIG-2_DUI-2_SKY-2,0,outer,left
ORC,-35.9574,117.073,-74.2436,ORC-2,ASK_BOY_CIS_OFF,ASK-ORC_BOY-ORC_CIS-ORC_OFF-ORC,ASK-ORC-2_BOY-ORC-2_CIS-ORC-2_OFF-ORC-2,ASK-2_BOY-2_CIS-2_OFF-2,0,outer,left
