Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
FLY,-80.93358531,87.71725979,5.316157356,DEPRECATED,AGO_ALA_DRY_OIL_VOW_OAR_TAX_WIZ,AGO-FLY_ALA-FLY_DRY-FLY_FLY-OIL_FLY-VOW_FLY-OAR_FLY-TAX_FLY-WIZ,DEPRECATED,DEPRECATED,0,outer,left
RUM,-18.97518531,126.5552198,-21.69788264,DEPRECATED,GUT_HOW_INK_MAY_OIL_PIE_REF_SHY_SIP,GUT-RUM_HOW-RUM_INK-RUM_MAY-RUM_OIL-RUM_PIE-RUM_REF-RUM_RUM-SHY_RUM-SIP,DEPRECATED,DEPRECATED,1,inner,left
LUG,86.15891469,-36.61328021,-2.943552644,DEPRECATED,COW_ETA_FIX_GAS_IVY_JAR_KEG_PAY_TAR_ODD_TUX_WHY,COW-LUG_ETA-LUG_FIX-LUG_GAS-LUG_IVY-LUG_JAR-LUG_KEG-LUG_LUG-PAY_LUG-TAR_LUG-ODD_LUG-TUX_LUG-WHY,DEPRECATED,DEPRECATED,0,inner,right
FLU,-102.6167853,-11.68779021,-73.81925264,DEPRECATED,BAR_CUP_HUG_SIR_VAN,BAR-FLU_CUP-FLU_FLU-HUG_FLU-SIR_FLU-VAN,DEPRECATED,DEPRECATED,1,outer,left
EVE,33.60991469,-43.37418021,71.54727736,DEPRECATED,LAW_FAX_OLD_GIG_IRE_LIE,EVE-LAW_EVE-FAX_EVE-OLD_EVE-GIG_EVE-IRE_EVE-LIE,DEPRECATED,DEPRECATED,0,outer,right
BED,-93.15698531,-11.31605021,-4.540852644,DEPRECATED,AGE_ICE_DOG_COY_MAD_SAY_GIN_CHI_PAW_CUP_LAX_DAY,AGE-BED_BED-ICE_BED-DOG_BED-COY_BED-MAD_BED-SAY_BED-GIN_BED-CHI_BED-PAW_BED-CUP_BED-LAX_BED-DAY,DEPRECATED,DEPRECATED,0,inner,left
GUT,-55.16688531,116.1870198,-42.02805264,DEPRECATED,AGO_ALA_INK_MAY_HEX_WAX_MIX_RUM_SIP_OIL_MOM,AGO-GUT_ALA-GUT_GUT-INK_GUT-MAY_GUT-HEX_GUT-WAX_GUT-MIX_GUT-RUM_GUT-SIP_GUT-OIL_GUT-MOM,DEPRECATED,DEPRECATED,0,inner,left
FUN,-40.59428531,73.88971979,51.64937736,DEPRECATED,DRY_FAN_NAY_PLY_REF_VOW,DRY-FUN_FAN-FUN_FUN-NAY_FUN-PLY_FUN-REF_FUN-VOW,DEPRECATED,DEPRECATED,0,outer,left
HUG,-89.11618531,12.85181979,-83.33752264,DEPRECATED,BOX_CUP_FLU_GYM_VAN_SIR_LID,BOX-HUG_CUP-HUG_FLU-HUG_GYM-HUG_HUG-VAN_HUG-SIR_HUG-LID,DEPRECATED,DEPRECATED,1,inner,left
SIR,-82.40258531,-38.02238021,-75.01906264,DEPRECATED,AGE_BAR_CUP_ELK_FLU_HUG_ONO_TAT,AGE-SIR_BAR-SIR_CUP-SIR_ELK-SIR_FLU-SIR_HUG-SIR_ONO-SIR_SIR-TAT,DEPRECATED,DEPRECATED,1,inner,left
