jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
WET,ARM,"WET,ARM",poi,arm,"poi,arm",34 1/8,34.125,160,
HIT,DIG,"HIT,DIG",hit,dig,"hit,dig",34.2,34.2,393,
FIX,EYE,"FIX,EYE",pet,pun,"pet,pun",34.2,34.2,236,
DAD,ROB,"DAD,ROB",dad,din,"dad,din",34.2,34.2,449,
GUN,ASK,"GUN,ASK",gun,ask,"gun,ask",34.2,34.2,518,
RAD,OVA,"RAD,OVA",rad,met,"rad,met",34.2,34.2,478,
MOO,EGG,"MOO,EGG",dot,rat,"dot,rat",34.2,34.2,453,
ETA,WIN,"ETA,WIN",git,dud,"git,dud",34.2,34.2,600,
CIS,ORC,"CIS,ORC",pic,ale,"pic,ale",34 1/4,34.25,664,
SOY,MOP,"SOY,MOP",low,ass,"low,ass",34 1/4,34.25,16,
TAU,TRY,"TAU,TRY",aid,try,"aid,try",34 1/4,34.25,59,
NAN,DUH,"NAN,DUH",tad,duh,"tad,duh",34.3,34.3,101,
PIG,HOT,"PIG,HOT",pig,hog,"pig,hog",34.4,34.4,249,
SOY,TRY,"SOY,TRY",low,try,"low,try",34.4,34.4,19,
PIG,EGG,"PIG,EGG",pig,rat,"pig,rat",34.4,34.4,250,
GOO,KEY,"GOO,KEY",goo,man,"goo,man",34.4,34.4,297,
ZIG,PAW,"ZIG,PAW",arc,put,"arc,put",34.4,34.4,581,
FLU,VAN,"FLU,VAN",map,his,"map,his",34.4,34.4,679,
JOY,RAW,"JOY,RAW",and,too,"and,too",34.4,34.4,522,
BAM,WIN,"BAM,WIN",lit,dud,"lit,dud",34.4,34.4,688,
GET,OAK,"GET,OAK",get,her,"get,her",34 1/2,34.5,619,
COW,AIR,"COW,AIR",cow,air,"cow,air",34.5,34.5,258,
ACE,EYE,"ACE,EYE",ace,pun,"ace,pun",34.5,34.5,214,1
FIX,POP,"FIX,POP",pet,pop,"pet,pop",34.5,34.5,234,
PIG,PRO,"PIG,PRO",pig,pro,"pig,pro",34.5,34.5,252,
LUG,TUX,"LUG,TUX",lug,dip,"lug,dip",34.5,34.5,420,
DUH,HAM,"DUH,HAM",duh,ham,"duh,ham",34.5,34.5,107,
HAY,WIN,"HAY,WIN",hay,dud,"hay,dud",34.5,34.5,690,
LUG,KEG,"LUG,KEG",lug,mob,"lug,mob",34.5,34.5,421,
NOM,HIT,"NOM,HIT",cut,hit,"cut,hit",34.6,34.6,318,
TAX,ZIG,"TAX,ZIG",tax,arc,"tax,arc",34.6,34.6,332,
OVA,LEG,"OVA,LEG",met,doe,"met,doe",34.6,34.6,570,
LID,AIM,"LID,AIM",lid,aim,"lid,aim",34 5/8,34.625,681,
GOO,PRO,"GOO,PRO",goo,pro,"goo,pro",34.7,34.7,298,
FIX,AIR,"FIX,AIR",pet,air,"pet,air",34.7,34.7,237,
GYM,ZIG,"GYM,ZIG",gym,arc,"gym,arc",34.7,34.7,579,
GET,HIP,"GET,HIP",get,hip,"get,hip",34 3/4,34.75,620,
ADO,DUB,"ADO,DUB",ado,dub,"ado,dub",34 3/4,34.75,75,1
EAR,MOO,"EAR,MOO",lye,dot,"lye,dot",34 3/4,34.75,306,
GYM,VAN,"GYM,VAN",gym,his,"gym,his",34 3/4,34.75,575,
GUN,RAW,"GUN,RAW",gun,too,"gun,too",34 3/4,34.75,515,
ACE,BRO,"ACE,BRO",ace,rag,"ace,rag",34.8,34.8,213,1
WHO,LEG,"WHO,LEG",pod,doe,"pod,doe",34.8,34.8,642,
LIE,ZOO,"LIE,ZOO",lie,are,"lie,are",34.8,34.8,129,
