# edge,length (in)
SKY-TUB,35.6
SKY-TAG,32.4
SOY-TRY,34.4
SOY-TAU,53.7
SPY-WHO,48.7
TAG-TUB,33.7
TAR-WHY,33.875
TAR-YAY,49.1
TAR-WAS,32.9
TAT-USE,43.2
TAU-TRY,34.25
TAU-ZAP,42.7
TAX-WIZ,36.0
TAX-VOW,53.4
TAX-ZIG,34.6
TOY-WET,33.875
USE-WOW,45.5
USE-WIG,38.4
VOW-WIZ,35.3
VOW-ZZZ,34.1
WAS-ZOO,35.2
WET-YES,51.4
WIG-WOW,35.8
WIZ-ZZZ,35.3
YAK-ZAP,32.0
